district,poverty level (2016)
Sunnyvale Elementary,7.5
Surprise Valley Joint Unified,26.9
Susanville Elementary,27.1
Sutter Union High,10.2
Sweetwater Union High,17.8
Sylvan Union Elementary,13
Taft City,33.5
Taft Union High,23.6
Tahoe-Truckee Unified,5.9
Tamalpais Union High,3.7
Tehachapi Unified,17.3
Temple City Unified,15.1
Templeton Unified,9.3
Terra Bella Union Elementary,30.9
Thermalito Union,33.7
Three Rivers Union Elementary,19.7
Tipton Elementary,31.6
Torrance Unified,9.6
Traver Joint Elementary,36.6
Travis Unified,7.7
Tres Pinos Union Elementary,5.6
Trinidad Union Elementary,10.4
Trinity Center Elementary,46.7
Trona Joint Unified,26.4
Tulare City Elementary,27.9
Tulare Joint Union High,24.8
Tulelake Basin Joint Unified,26
Tustin Unified,10.8
Twain Harte,7.4
Twin Hills Union Elementary,9
Two Rock Union Elementary,9.6
Ukiah Unified,22.8
Union Elementary,4.1
Union Hill Elementary,12.8
Union Joint Elementary,14.3
Upper Lake Union Elementary,22.7
Upper Lake Union High,35.6
Vacaville Unified,11.5
Valle Lindo Elementary,25.1
Vallecito Union Elementary,22.8
Vallecitos Elementary,26.1
Vallejo City Unified,19.5
Valley Home Joint Elementary,9.6
Ventura Unified,10.2
Victor Elementary,37.5
Vineland Elementary,45.9
Visalia Unified,25.4
Vista Unified,15.7
Vista del Mar Union Elementary,17.4
Walnut Creek Elementary,5.8
Walnut Valley Unified,11.9
Wasco Union Elementary,40
Wasco Union High,28.1
Washington Colony Elementary,36.5
Washington Unified,19.9
Washington Union Elementary,7.5
Waugh Elementary,7.8
Waukena Joint Union Elementary,30.2
Weaver Union Elementary,32.7
Weed Union Elementary,27.9
West Covina Unified,15.3
West Park Elementary,39.4
Westside Union Elementary,11.8
Western Placer Unified,9.1
Westminster,21.3
Westmorland Union Elementary,43.2
Westside Elementary,32.4
West Side Union Elementary,12.5
Westwood Unified,26.2
Wheatland Elementary,16.2
Wheatland Union High,10.3
Whitmore Union Elementary,39.3
Whittier City Elementary,17.4
Whittier Union High,13.7
William S. Hart Union High,8.4
Williams Unified,12.4
Willits Unified,20.2
Laytonville Unified,33.7
Willow Creek Elementary,25
Willow Grove Union Elementary,5
Willows Unified,19.4
Wilmar Union Elementary,14
Wilsona Elementary,34.6
Winship Robbins Elementary,20.8
Winters Joint Unified,12.5
Winton,22
Woodland Joint Unified,16.1
Woodside Elementary,2.5
Woodville Elementary,42.2
Wright Elementary,17.8
Yreka Union Elementary,31
Yreka Union High,19.7
Yuba City Unified,24.5
Yucaipa-Calimesa Joint Unified,18.8
Irvine Unified,7.5
Golden Plains Unified,39.8
Val Verde Unified,23.1
Aromas-San Juan Unified,16.8
Big Oak Flat-Groveland Unified,14.2
